X,Y
0.24835707650561634,0.0
0.179224925920024,0.46368766103500375
0.5030691949703703,-0.17545661428475912
1.2645841231743828,-0.2757243446485184
1.1475074358127149,0.35011557378198693
1.0304389573381245,0.2941714768595489
1.8200453650918202,0.11193481022375465
2.2037627296682745,0.9054008142782792
1.9690255367007985,1.2293215046135657
2.2403055584937808,0.7578432546175198
2.0085967120875496,1.486641033537517
1.7757318353024212,0.18039855991326403
1.8967129710854382,0.45392967694219366
0.9400728487565393,0.25599569871844835
0.07761393250002291,-0.6256468840377234
-0.20352983212046344,-0.08062085157511509
-0.7099453922876753,-0.12999478898529232
-0.5528217259900383,0.5307417750362337
-1.0068337637506437,0.20263350198400065
-1.7129856144182893,-0.7938801910913955
-0.9801612299575123,0.3337625797324678
-1.0930493802007801,0.34984473674866956
-1.0592852778568183,-0.0018814886510591933
-1.7716593709635466,-0.43121578164706736
-2.043850733226138,-1.0543390078155106
-1.9883894383712049,-0.9046925087849189
-2.563886227082356,-0.14261177253776036
-2.37603721790952,0.1588661075888217
-2.6763565628689223,0.07469720952212078
-2.8222034377655607,-1.0398619588016016
-3.1230567438802592,-1.510455943854334
-2.1969176516257902,-1.0175194940939092
-2.2036662639947573,-1.6450469276785538
-2.7325217284727072,-0.6640207148738918
-2.3212492724211127,-0.9599598831785358
-2.931671097406624,-1.0253890209783085
-2.827239299904246,-1.7793917649532158
-3.807074361844134,-0.769310913181737
-4.471167386293349,-1.4854038197023696
-4.372736768358787,-2.0748490157133856
-4.003503478361082,-2.9554370387197992
-3.9178193377660966,-1.5103521999056224
-3.9756434789602166,-0.4402552229855192
-4.1261953267548614,-0.4060889587126819
-4.865456321938575,-1.5070156221908626
-5.225378426135929,-1.9114444889815492
-5.455697811615823,-1.5243708487014218
-4.927136698506366,-2.288339147949035
-4.755327553722135,-1.5560789744370802
-5.636847631403502,-1.1991660243680036
-5.474805646706105,-1.1975042799156972
-5.667346786914263,-1.8122691602433776
-6.005807787067242,-1.9832678271870994
-5.699969642646808,-2.439060412217163
-5.184469881398833,-2.3673371110356887
-4.718829821840734,-1.905314121473982
-5.138438583452053,-1.4224976052915292
-5.29304477137766,-1.226989022448144
-5.127413055675878,-2.1122018089982846
-4.639640492114698,-1.003099813122831
-4.879227611037344,-1.627763929467977
-4.972057099369252,-1.637228323432219
-5.525224586372266,-2.028945801727909
-6.123327898412601,-3.072582086220941
-5.717064987215502,-1.7022338799653494
-5.03894497293009,-1.5169209356149689
-5.074950033720257,-1.8040393639996306
-4.573183584774245,-1.6693935879036041
-4.392365572250428,-1.2809248253705843
-4.71492544955299,-2.227075082655458
-4.534227646798784,-1.9017114818045904
-3.7652093635657993,-1.1533071024091806
-3.783122383120775,-1.8720382308952825
-3.000800555213772,-1.1753615719424464
-4.310673107258644,-1.6960672260700789
-3.899721855071032,-1.229593663567838
-3.8561983209519464,-1.3106966640268354
-4.0057019961848805,-2.095495070641022
-3.9598216079171293,-0.8288904286909807
-4.953606065217576,-1.6381313136432614
-5.063442009136332,-2.0550211694367895
-4.884885723380458,-1.6242501210691072
-4.1459387010097,-1.0535720544066907
-4.405073810146524,-1.8570497252327776
-4.809320611593118,-1.476387190643249
-5.060199133385386,-1.3760266523769737
-4.602498074534349,-1.3091096016217412
-4.438122519704507,-1.4234396048838662
-4.703002621588026,-1.6572946359413998
-4.446368905031348,-1.9904253603949076
-4.397830130357328,-1.489881266025708
-3.913507635090884,-2.0044066717025726
-4.264534182029561,-2.8351681994448263
-4.428365255328445,-1.3445971724745167
-4.624419331894524,-1.0110018733028876
-5.356176805960583,-2.6698922046695652
-5.208116667428295,-2.3787076146101005
-5.07758903133835,-1.4907286311868997
-5.07503230301712,-0.6436018376643455
-5.1923258697046935,-1.5764730208338664
-5.900011240729901,-2.0793465336093617
-6.110333902112581,-2.0693862461323267
-6.281691160375965,-1.3526005856729144
-6.682829794986775,-2.3427494962423485
-6.7634726508197796,-2.638719891445394
-6.56144722241251,-2.53428554548149
-5.618354271807245,-2.6985270254012583
-5.531065365391326,-1.8940238260849016
-5.402290170029944,-1.0363827629911078
-5.4395131279130275,-1.5627856907500792
-6.398898735562549,-1.9143092585120598
-6.412155673287157,-2.2570061809777426
-6.3820405683166435,-2.9309427244322497
-5.150419512074,-1.7661515543646384
-5.246599994464562,-1.7606596075650651
-5.095826323297755,-1.840285915891188
-5.113182208150377,-0.11622270465601514
-5.697521226960143,-1.3962004787278715
-5.1261098197026325,-2.224771941008422
-4.750143303359246,-1.9734889381144038
-4.354627329837722,-1.0481690302208369
-4.809321057235092,-1.3545698967045179
-4.107923901767043,-2.297392295999663
-4.808849433163183,-1.0025019328424774
-4.515420886263048,-1.8769770660026994
-3.4201930733580586,-0.6056750843704116
-3.9154612359234027,-0.5466013975871344
-4.198610100724789,-1.4529594583651098
-4.148784418180968,-0.7643707951863913
-4.400522245239068,-1.2871446497092278
-5.175853960772134,-1.0224843009815334
-5.14157247336912,-1.412638209682556
-5.672724330232173,-2.106913890474428
-5.435928114914582,-2.234283604275826
-5.895640232031484,-1.3392263861113767
-5.120673029522714,-2.0700023742738534
-5.512299675690833,-1.945026377905198
-5.67333043379367,-2.325753830172446
-5.266571825108835,-1.722774980358615
-5.882003983325813,-0.7209865859469395
-5.7682740160237485,-2.370466310719574
-5.114702638882535,-1.9554191075427028
-5.9184442561631485,-1.0238424247113163
-5.826127326896996,-1.9177382149429336
-5.696185929772785,-1.7134261214385254
-5.30527449388413,-2.411395155149128
-5.923749849323171,-1.6185683150763275
-6.583978155865309,-2.032553918806858
-6.323007373056861,-1.685583840800347
-6.174515036440267,-1.4717675702147173
-6.049268611267329,-0.7047494469442448
-5.876044506518841,-1.5954389414678352
-6.216056867308087,-1.7594590878113525
-6.099930018727585,-1.943570818184893
-5.953393782078245,-2.200919233842109
-6.310569491091429,-1.8368681362768389
-5.377682235519051,-2.224558366024627
-5.140765775063157,-1.7515300191233707
-5.736417523664481,-1.058583966627304
-5.408140719347566,-2.330054936401895
-5.8954815544612265,-1.2855084288799365
-5.501939252590001,-1.2386377755564286
-4.922641463086299,-1.8334798168281823
-5.332982622262154,-2.7210678701130053
-4.851294557639993,-2.175912567237163
-4.644904094171744,-1.0244823507351595
-4.233874014174499,-1.50735349447448
-3.2854775228475255,-1.920548669847253
-3.4081715808489608,-1.4300855844530918
-3.7850396630277054,-0.7451500194477207
-4.229796877840467,-0.9366601167523938
-4.637702020323187,-1.482071124612227
-4.676252875030238,-1.7229299244655225
-4.505676887621917,-1.7710479294775348
-4.367331487956907,-1.9900129514835798
-3.953739863438895,-0.7015128968007092
-3.947238917499942,-1.4174334833174094
-3.220471878921283,-0.7173357631689752
-3.3528002955402614,-0.27721711403205673
-1.992715712245452,-0.5344063509913037
-1.679882038362949,-0.8670655051317901
-2.1084608165710903,-0.3888061168537589
-2.6439070656016463,-0.683516659852161
-2.4026708579800538,-1.313374716030774
-2.5144022506429793,-0.689959088136292
-2.1574020035969332,-1.4128364795864243
-1.9207831913101607,-0.19466455480694056
-1.957197647638597,-0.8280100615229388
-2.3805945066727996,-0.5693804725074534
-3.138018119015732,-0.6294724634795141
-3.361275595049243,-1.1338051689047095
-2.9330761978875066,-0.8284162946676062
-2.8260293258224047,-1.2002163171442748
-3.448898715178399,-0.5321817807325268
-3.362308252252808,-1.7608776327501465
-3.16964956238839,-1.1215904491776512
-3.6115782804889562,-0.09358941410513966
-3.5347157275161925,-1.5929980878599883
-3.5056113682931924,-1.5585870123032826
-4.077096517208504,-0.9505881868888286
-3.898202837034362,-1.228396882881635
-3.617810573850245,-1.1169854897616924
-3.076284952262607,-0.952448156057411
-2.5493839262451554,-0.7007695670036381
-3.2382186102237007,-0.28004221359579884
-3.707131130181262,-0.7945604759624338
-3.4496134965769323,-1.3122242139598932
-3.192720521120828,-0.8298196197677035
-2.935196677967804,-0.0908571508654108
-1.0088309326404434,-0.9559615916681691
-0.7233856772938599,-0.8855100912942706
-0.15560285720356049,0.24797362232590137
0.3213980245430407,-0.08207407690527713
0.6470936501959397,-0.9981227733346336
0.4894590278757669,0.5180266563005294
0.8689436381224006,-0.06902371898417836
0.4825310308536147,0.20851407838622193
0.36412172748361027,0.33160088237921387
0.12143995356905854,0.23764644637253768
0.1623770232622198,0.41492253927749106
